Sample alias," ""First Fastq File"""," ""First Checksum"""," ""First Unencrypted checksum"""," ""Second Fastq File"""," ""Second Checksum"""," ""Second Unencrypted checksum"""
run6_S80,run6_80_S80_L001_R1_001.fastq.gz,,,run6_80_S80_L001_R2_001.fastq.gz,,
run8_S23,run8_23_S23_L001_R1_001.fastq.gz,,,run8_23_S23_L001_R2_001.fastq.gz,,
run1_S13,run1_13_S13_L001_R1_001.fastq.gz,,,run1_13_S13_L001_R2_001.fastq.gz,,
run7_S24,run7_24_S24_L001_R1_001.fastq.gz,,,run7_24_S24_L001_R2_001.fastq.gz,,
run5_S18,run5_18_S18_L001_R1_001.fastq.gz,,,run5_18_S18_L001_R2_001.fastq.gz,,
run9_S6,run9_6_S6_L001_R1_001.fastq.gz,,,run9_6_S6_L001_R2_001.fastq.gz,,
run6_S44,run6_44_S44_L001_R1_001.fastq.gz,,,run6_44_S44_L001_R2_001.fastq.gz,,
run1_S47,run1_47_S47_L001_R1_001.fastq.gz,,,run1_47_S47_L001_R2_001.fastq.gz,,
run9_S18,run9_18_S18_L001_R1_001.fastq.gz,,,run9_18_S18_L001_R2_001.fastq.gz,,
run2_S1807,run2_1807_S1807_L001_R1_001.fastq.gz,,,run2_1807_S1807_L001_R2_001.fastq.gz,,
run1_S60,run1_60_S60_L001_R1_001.fastq.gz,,,run1_60_S60_L001_R2_001.fastq.gz,,
run3_S43,run3_43_S43_L001_R1_001.fastq.gz,,,run3_43_S43_L001_R2_001.fastq.gz,,
run7_S82,run7_82_S82_L001_R1_001.fastq.gz,,,run7_82_S82_L001_R2_001.fastq.gz,,
run9_S58,run9_58_S58_L001_R1_001.fastq.gz,,,run9_58_S58_L001_R2_001.fastq.gz,,
run6_S27,run6_27_S27_L001_R1_001.fastq.gz,,,run6_27_S27_L001_R2_001.fastq.gz,,
run8_S31,run8_31_S31_L001_R1_001.fastq.gz,,,run8_31_S31_L001_R2_001.fastq.gz,,
run5_S73,run5_73_S73_L001_R1_001.fastq.gz,,,run5_73_S73_L001_R2_001.fastq.gz,,
run6_S96,run6_96_S96_L001_R1_001.fastq.gz,,,run6_96_S96_L001_R2_001.fastq.gz,,
run5_S46,run5_46_S46_L001_R1_001.fastq.gz,,,run5_46_S46_L001_R2_001.fastq.gz,,
run8_S73,run8_73_S73_L001_R1_001.fastq.gz,,,run8_73_S73_L001_R2_001.fastq.gz,,
run9_S29,run9_29_S29_L001_R1_001.fastq.gz,,,run9_29_S29_L001_R2_001.fastq.gz,,
run3_S21,run3_21_S21_L001_R1_001.fastq.gz,,,run3_21_S21_L001_R2_001.fastq.gz,,
run5_S25,run5_25_S25_L001_R1_001.fastq.gz,,,run5_25_S25_L001_R2_001.fastq.gz,,
run8_S2567,run8_2567_S2567_L001_R1_001.fastq.gz,,,run8_2567_S2567_L001_R2_001.fastq.gz,,
run8_S38,run8_38_S38_L001_R1_001.fastq.gz,,,run8_38_S38_L001_R2_001.fastq.gz,,
run7_S7,run7_7_S7_L001_R1_001.fastq.gz,,,run7_7_S7_L001_R2_001.fastq.gz,,
run6_S2201,run6_2201_S2201_L001_R1_001.fastq.gz,,,run6_2201_S2201_L001_R2_001.fastq.gz,,
run2_S45,run2_45_S45_L001_R1_001.fastq.gz,,,run2_45_S45_L001_R2_001.fastq.gz,,
run4_S51,run4_51_S51_L001_R1_001.fastq.gz,,,run4_51_S51_L001_R2_001.fastq.gz,,
run1_S16,run1_16_S16_L001_R1_001.fastq.gz,,,run1_16_S16_L001_R2_001.fastq.gz,,
run5_S44,run5_44_S44_L001_R1_001.fastq.gz,,,run5_44_S44_L001_R2_001.fastq.gz,,
run7_S42,run7_42_S42_L001_R1_001.fastq.gz,,,run7_42_S42_L001_R2_001.fastq.gz,,
run7_S1807,run7_1807_S1807_L001_R1_001.fastq.gz,,,run7_1807_S1807_L001_R2_001.fastq.gz,,
run7_S73,run7_73_S73_L001_R1_001.fastq.gz,,,run7_73_S73_L001_R2_001.fastq.gz,,
run7_S97,run7_97_S97_L001_R1_001.fastq.gz,,,run7_97_S97_L001_R2_001.fastq.gz,,
run6_S19,run6_19_S19_L001_R1_001.fastq.gz,,,run6_19_S19_L001_R2_001.fastq.gz,,
run4_S37,run4_37_S37_L001_R1_001.fastq.gz,,,run4_37_S37_L001_R2_001.fastq.gz,,
run1_S34,run1_34_S34_L001_R1_001.fastq.gz,,,run1_34_S34_L001_R2_001.fastq.gz,,
run2_S62,run2_62_S62_L001_R1_001.fastq.gz,,,run2_62_S62_L001_R2_001.fastq.gz,,
run1_S2803,run1_2803_S2803_L001_R1_001.fastq.gz,,,run1_2803_S2803_L001_R2_001.fastq.gz,,
run6_S87,run6_87_S87_L001_R1_001.fastq.gz,,,run6_87_S87_L001_R2_001.fastq.gz,,
run6_S1632,run6_1632_S1632_L001_R1_001.fastq.gz,,,run6_1632_S1632_L001_R2_001.fastq.gz,,
run3_S66,run3_66_S66_L001_R1_001.fastq.gz,,,run3_66_S66_L001_R2_001.fastq.gz,,
run3_S7,run3_7_S7_L001_R1_001.fastq.gz,,,run3_7_S7_L001_R2_001.fastq.gz,,
run8_S2201,run8_2201_S2201_L001_R1_001.fastq.gz,,,run8_2201_S2201_L001_R2_001.fastq.gz,,
run6_S2788,run6_2788_S2788_L001_R1_001.fastq.gz,,,run6_2788_S2788_L001_R2_001.fastq.gz,,
run8_S7,run8_7_S7_L001_R1_001.fastq.gz,,,run8_7_S7_L001_R2_001.fastq.gz,,
run5_S1482,run5_1482_S1482_L001_R1_001.fastq.gz,,,run5_1482_S1482_L001_R2_001.fastq.gz,,
run8_S10,run8_10_S10_L001_R1_001.fastq.gz,,,run8_10_S10_L001_R2_001.fastq.gz,,
run9_S22,run9_22_S22_L001_R1_001.fastq.gz,,,run9_22_S22_L001_R2_001.fastq.gz,,
run3_S31,run3_31_S31_L001_R1_001.fastq.gz,,,run3_31_S31_L001_R2_001.fastq.gz,,
run7_S614,run7_614_S614_L001_R1_001.fastq.gz,,,run7_614_S614_L001_R2_001.fastq.gz,,
run9_S65,run9_65_S65_L001_R1_001.fastq.gz,,,run9_65_S65_L001_R2_001.fastq.gz,,
run6_S12,run6_12_S12_L001_R1_001.fastq.gz,,,run6_12_S12_L001_R2_001.fastq.gz,,
run9_S42,run9_42_S42_L001_R1_001.fastq.gz,,,run9_42_S42_L001_R2_001.fastq.gz,,
run6_S65,run6_65_S65_L001_R1_001.fastq.gz,,,run6_65_S65_L001_R2_001.fastq.gz,,
run5_S64,run5_64_S64_L001_R1_001.fastq.gz,,,run5_64_S64_L001_R2_001.fastq.gz,,
run4_S60,run4_60_S60_L001_R1_001.fastq.gz,,,run4_60_S60_L001_R2_001.fastq.gz,,
run2_S51,run2_51_S51_L001_R1_001.fastq.gz,,,run2_51_S51_L001_R2_001.fastq.gz,,
run7_S84,run7_84_S84_L001_R1_001.fastq.gz,,,run7_84_S84_L001_R2_001.fastq.gz,,
run6_S1481,run6_1481_S1481_L001_R1_001.fastq.gz,,,run6_1481_S1481_L001_R2_001.fastq.gz,,
run5_S13,run5_13_S13_L001_R1_001.fastq.gz,,,run5_13_S13_L001_R2_001.fastq.gz,,
run7_S68,run7_68_S68_L001_R1_001.fastq.gz,,,run7_68_S68_L001_R2_001.fastq.gz,,
run1_S2476,run1_2476_S2476_L001_R1_001.fastq.gz,,,run1_2476_S2476_L001_R2_001.fastq.gz,,
run8_S52,run8_52_S52_L001_R1_001.fastq.gz,,,run8_52_S52_L001_R2_001.fastq.gz,,
run8_S26,run8_26_S26_L001_R1_001.fastq.gz,,,run8_26_S26_L001_R2_001.fastq.gz,,
run5_S37,run5_37_S37_L001_R1_001.fastq.gz,,,run5_37_S37_L001_R2_001.fastq.gz,,
run4_S19,run4_19_S19_L001_R1_001.fastq.gz,,,run4_19_S19_L001_R2_001.fastq.gz,,
run5_S41,run5_41_S41_L001_R1_001.fastq.gz,,,run5_41_S41_L001_R2_001.fastq.gz,,
run5_S3737,run5_3737_S3737_L001_R1_001.fastq.gz,,,run5_3737_S3737_L001_R2_001.fastq.gz,,
run2_S71,run2_71_S71_L001_R1_001.fastq.gz,,,run2_71_S71_L001_R2_001.fastq.gz,,
run2_S9,run2_9_S9_L001_R1_001.fastq.gz,,,run2_9_S9_L001_R2_001.fastq.gz,,
run5_S3726,run5_3726_S3726_L001_R1_001.fastq.gz,,,run5_3726_S3726_L001_R2_001.fastq.gz,,
run7_S43,run7_43_S43_L001_R1_001.fastq.gz,,,run7_43_S43_L001_R2_001.fastq.gz,,
run1_S21,run1_21_S21_L001_R1_001.fastq.gz,,,run1_21_S21_L001_R2_001.fastq.gz,,
run4_S50,run4_50_S50_L001_R1_001.fastq.gz,,,run4_50_S50_L001_R2_001.fastq.gz,,
run6_S38,run6_38_S38_L001_R1_001.fastq.gz,,,run6_38_S38_L001_R2_001.fastq.gz,,
run2_S40,run2_40_S40_L001_R1_001.fastq.gz,,,run2_40_S40_L001_R2_001.fastq.gz,,
run9_S38,run9_38_S38_L001_R1_001.fastq.gz,,,run9_38_S38_L001_R2_001.fastq.gz,,
run7_S85,run7_85_S85_L001_R1_001.fastq.gz,,,run7_85_S85_L001_R2_001.fastq.gz,,
run5_S51,run5_51_S51_L001_R1_001.fastq.gz,,,run5_51_S51_L001_R2_001.fastq.gz,,
run3_S27,run3_27_S27_L001_R1_001.fastq.gz,,,run3_27_S27_L001_R2_001.fastq.gz,,
run3_S17,run3_17_S17_L001_R1_001.fastq.gz,,,run3_17_S17_L001_R2_001.fastq.gz,,
run2_S2567,run2_2567_S2567_L001_R1_001.fastq.gz,,,run2_2567_S2567_L001_R2_001.fastq.gz,,
run7_S30,run7_30_S30_L001_R1_001.fastq.gz,,,run7_30_S30_L001_R2_001.fastq.gz,,
run2_S6,run2_6_S6_L001_R1_001.fastq.gz,,,run2_6_S6_L001_R2_001.fastq.gz,,
run6_S28,run6_28_S28_L001_R1_001.fastq.gz,,,run6_28_S28_L001_R2_001.fastq.gz,,
run3_S2803,run3_2803_S2803_L001_R1_001.fastq.gz,,,run3_2803_S2803_L001_R2_001.fastq.gz,,
run7_S81,run7_81_S81_L001_R1_001.fastq.gz,,,run7_81_S81_L001_R2_001.fastq.gz,,
run5_S9,run5_9_S9_L001_R1_001.fastq.gz,,,run5_9_S9_L001_R2_001.fastq.gz,,
run7_S1228,run7_1228_S1228_L001_R1_001.fastq.gz,,,run7_1228_S1228_L001_R2_001.fastq.gz,,
run7_S33,run7_33_S33_L001_R1_001.fastq.gz,,,run7_33_S33_L001_R2_001.fastq.gz,,
run3_S18,run3_18_S18_L001_R1_001.fastq.gz,,,run3_18_S18_L001_R2_001.fastq.gz,,
run8_S24,run8_24_S24_L001_R1_001.fastq.gz,,,run8_24_S24_L001_R2_001.fastq.gz,,
run1_S1484,run1_1484_S1484_L001_R1_001.fastq.gz,,,run1_1484_S1484_L001_R2_001.fastq.gz,,
run6_S23,run6_23_S23_L001_R1_001.fastq.gz,,,run6_23_S23_L001_R2_001.fastq.gz,,
run5_S39,run5_39_S39_L001_R1_001.fastq.gz,,,run5_39_S39_L001_R2_001.fastq.gz,,
run7_S1482,run7_1482_S1482_L001_R1_001.fastq.gz,,,run7_1482_S1482_L001_R2_001.fastq.gz,,
run4_S1481,run4_1481_S1481_L001_R1_001.fastq.gz,,,run4_1481_S1481_L001_R2_001.fastq.gz,,
run3_S2201,run3_2201_S2201_L001_R1_001.fastq.gz,,,run3_2201_S2201_L001_R2_001.fastq.gz,,
run7_S3737,run7_3737_S3737_L001_R1_001.fastq.gz,,,run7_3737_S3737_L001_R2_001.fastq.gz,,
run1_S50,run1_50_S50_L001_R1_001.fastq.gz,,,run1_50_S50_L001_R2_001.fastq.gz,,
run2_S16,run2_16_S16_L001_R1_001.fastq.gz,,,run2_16_S16_L001_R2_001.fastq.gz,,
run8_S30,run8_30_S30_L001_R1_001.fastq.gz,,,run8_30_S30_L001_R2_001.fastq.gz,,
run4_S2803,run4_2803_S2803_L001_R1_001.fastq.gz,,,run4_2803_S2803_L001_R2_001.fastq.gz,,
run1_S614,run1_614_S614_L001_R1_001.fastq.gz,,,run1_614_S614_L001_R2_001.fastq.gz,,
run7_S27,run7_27_S27_L001_R1_001.fastq.gz,,,run7_27_S27_L001_R2_001.fastq.gz,,
run9_S49,run9_49_S49_L001_R1_001.fastq.gz,,,run9_49_S49_L001_R2_001.fastq.gz,,
run5_S1,run5_1_S1_L001_R1_001.fastq.gz,,,run5_1_S1_L001_R2_001.fastq.gz,,
run8_S19,run8_19_S19_L001_R1_001.fastq.gz,,,run8_19_S19_L001_R2_001.fastq.gz,,
run7_S22,run7_22_S22_L001_R1_001.fastq.gz,,,run7_22_S22_L001_R2_001.fastq.gz,,
run6_S34,run6_34_S34_L001_R1_001.fastq.gz,,,run6_34_S34_L001_R2_001.fastq.gz,,
run2_S1228,run2_1228_S1228_L001_R1_001.fastq.gz,,,run2_1228_S1228_L001_R2_001.fastq.gz,,
run7_S37,run7_37_S37_L001_R1_001.fastq.gz,,,run7_37_S37_L001_R2_001.fastq.gz,,
run7_S2,run7_2_S2_L001_R1_001.fastq.gz,,,run7_2_S2_L001_R2_001.fastq.gz,,
run5_S32,run5_32_S32_L001_R1_001.fastq.gz,,,run5_32_S32_L001_R2_001.fastq.gz,,
run7_S70,run7_70_S70_L001_R1_001.fastq.gz,,,run7_70_S70_L001_R2_001.fastq.gz,,
run2_S20,run2_20_S20_L001_R1_001.fastq.gz,,,run2_20_S20_L001_R2_001.fastq.gz,,
run3_S59,run3_59_S59_L001_R1_001.fastq.gz,,,run3_59_S59_L001_R2_001.fastq.gz,,
run4_S52,run4_52_S52_L001_R1_001.fastq.gz,,,run4_52_S52_L001_R2_001.fastq.gz,,
run8_S68,run8_68_S68_L001_R1_001.fastq.gz,,,run8_68_S68_L001_R2_001.fastq.gz,,
run7_S48,run7_48_S48_L001_R1_001.fastq.gz,,,run7_48_S48_L001_R2_001.fastq.gz,,
run8_S70,run8_70_S70_L001_R1_001.fastq.gz,,,run8_70_S70_L001_R2_001.fastq.gz,,
run7_S2931,run7_2931_S2931_L001_R1_001.fastq.gz,,,run7_2931_S2931_L001_R2_001.fastq.gz,,
run1_S30,run1_30_S30_L001_R1_001.fastq.gz,,,run1_30_S30_L001_R2_001.fastq.gz,,
run8_S17,run8_17_S17_L001_R1_001.fastq.gz,,,run8_17_S17_L001_R2_001.fastq.gz,,
run5_S38,run5_38_S38_L001_R1_001.fastq.gz,,,run5_38_S38_L001_R2_001.fastq.gz,,
run9_S54,run9_54_S54_L001_R1_001.fastq.gz,,,run9_54_S54_L001_R2_001.fastq.gz,,
run7_S1263,run7_1263_S1263_L001_R1_001.fastq.gz,,,run7_1263_S1263_L001_R2_001.fastq.gz,,
run2_S1481,run2_1481_S1481_L001_R1_001.fastq.gz,,,run2_1481_S1481_L001_R2_001.fastq.gz,,
run8_S79,run8_79_S79_L001_R1_001.fastq.gz,,,run8_79_S79_L001_R2_001.fastq.gz,,
run2_S2803,run2_2803_S2803_L001_R1_001.fastq.gz,,,run2_2803_S2803_L001_R2_001.fastq.gz,,
run2_S23,run2_23_S23_L001_R1_001.fastq.gz,,,run2_23_S23_L001_R2_001.fastq.gz,,
run1_S5,run1_5_S5_L001_R1_001.fastq.gz,,,run1_5_S5_L001_R2_001.fastq.gz,,
run1_S37,run1_37_S37_L001_R1_001.fastq.gz,,,run1_37_S37_L001_R2_001.fastq.gz,,
run2_S2990,run2_2990_S2990_L001_R1_001.fastq.gz,,,run2_2990_S2990_L001_R2_001.fastq.gz,,
run3_S52,run3_52_S52_L001_R1_001.fastq.gz,,,run3_52_S52_L001_R2_001.fastq.gz,,
run2_S44,run2_44_S44_L001_R1_001.fastq.gz,,,run2_44_S44_L001_R2_001.fastq.gz,,
run8_S22,run8_22_S22_L001_R1_001.fastq.gz,,,run8_22_S22_L001_R2_001.fastq.gz,,
run2_S2670,run2_2670_S2670_L001_R1_001.fastq.gz,,,run2_2670_S2670_L001_R2_001.fastq.gz,,
run7_S62,run7_62_S62_L001_R1_001.fastq.gz,,,run7_62_S62_L001_R2_001.fastq.gz,,
run6_S43,run6_43_S43_L001_R1_001.fastq.gz,,,run6_43_S43_L001_R2_001.fastq.gz,,
run3_S22,run3_22_S22_L001_R1_001.fastq.gz,,,run3_22_S22_L001_R2_001.fastq.gz,,
run8_S1482,run8_1482_S1482_L001_R1_001.fastq.gz,,,run8_1482_S1482_L001_R2_001.fastq.gz,,
run1_S35,run1_35_S35_L001_R1_001.fastq.gz,,,run1_35_S35_L001_R2_001.fastq.gz,,
run7_S95,run7_95_S95_L001_R1_001.fastq.gz,,,run7_95_S95_L001_R2_001.fastq.gz,,
run2_S32,run2_32_S32_L001_R1_001.fastq.gz,,,run2_32_S32_L001_R2_001.fastq.gz,,
run7_S56,run7_56_S56_L001_R1_001.fastq.gz,,,run7_56_S56_L001_R2_001.fastq.gz,,
run9_S92,run9_92_S92_L001_R1_001.fastq.gz,,,run9_92_S92_L001_R2_001.fastq.gz,,
run5_S42,run5_42_S42_L001_R1_001.fastq.gz,,,run5_42_S42_L001_R2_001.fastq.gz,,
run4_S12,run4_12_S12_L001_R1_001.fastq.gz,,,run4_12_S12_L001_R2_001.fastq.gz,,
run7_S87,run7_87_S87_L001_R1_001.fastq.gz,,,run7_87_S87_L001_R2_001.fastq.gz,,
run7_S12,run7_12_S12_L001_R1_001.fastq.gz,,,run7_12_S12_L001_R2_001.fastq.gz,,
run1_S9,run1_9_S9_L001_R1_001.fastq.gz,,,run1_9_S9_L001_R2_001.fastq.gz,,
run4_S65,run4_65_S65_L001_R1_001.fastq.gz,,,run4_65_S65_L001_R2_001.fastq.gz,,
run8_S2476,run8_2476_S2476_L001_R1_001.fastq.gz,,,run8_2476_S2476_L001_R2_001.fastq.gz,,
run8_S90,run8_90_S90_L001_R1_001.fastq.gz,,,run8_90_S90_L001_R2_001.fastq.gz,,
run4_S7,run4_7_S7_L001_R1_001.fastq.gz,,,run4_7_S7_L001_R2_001.fastq.gz,,
run4_S25,run4_25_S25_L001_R1_001.fastq.gz,,,run4_25_S25_L001_R2_001.fastq.gz,,
run2_S69,run2_69_S69_L001_R1_001.fastq.gz,,,run2_69_S69_L001_R2_001.fastq.gz,,
run8_S614,run8_614_S614_L001_R1_001.fastq.gz,,,run8_614_S614_L001_R2_001.fastq.gz,,
run4_S4,run4_4_S4_L001_R1_001.fastq.gz,,,run4_4_S4_L001_R2_001.fastq.gz,,
run2_S12,run2_12_S12_L001_R1_001.fastq.gz,,,run2_12_S12_L001_R2_001.fastq.gz,,
run7_S14,run7_14_S14_L001_R1_001.fastq.gz,,,run7_14_S14_L001_R2_001.fastq.gz,,
run1_S36,run1_36_S36_L001_R1_001.fastq.gz,,,run1_36_S36_L001_R2_001.fastq.gz,,
run4_S15,run4_15_S15_L001_R1_001.fastq.gz,,,run4_15_S15_L001_R2_001.fastq.gz,,
run5_S17,run5_17_S17_L001_R1_001.fastq.gz,,,run5_17_S17_L001_R2_001.fastq.gz,,
run4_S66,run4_66_S66_L001_R1_001.fastq.gz,,,run4_66_S66_L001_R2_001.fastq.gz,,
run3_S2987,run3_2987_S2987_L001_R1_001.fastq.gz,,,run3_2987_S2987_L001_R2_001.fastq.gz,,
run6_S50,run6_50_S50_L001_R1_001.fastq.gz,,,run6_50_S50_L001_R2_001.fastq.gz,,
run3_S44,run3_44_S44_L001_R1_001.fastq.gz,,,run3_44_S44_L001_R2_001.fastq.gz,,
run4_S2670,run4_2670_S2670_L001_R1_001.fastq.gz,,,run4_2670_S2670_L001_R2_001.fastq.gz,,
run6_S42,run6_42_S42_L001_R1_001.fastq.gz,,,run6_42_S42_L001_R2_001.fastq.gz,,
run3_S68,run3_68_S68_L001_R1_001.fastq.gz,,,run3_68_S68_L001_R2_001.fastq.gz,,
run2_S28,run2_28_S28_L001_R1_001.fastq.gz,,,run2_28_S28_L001_R2_001.fastq.gz,,
run2_S22,run2_22_S22_L001_R1_001.fastq.gz,,,run2_22_S22_L001_R2_001.fastq.gz,,
run7_S35,run7_35_S35_L001_R1_001.fastq.gz,,,run7_35_S35_L001_R2_001.fastq.gz,,
run6_S35,run6_35_S35_L001_R1_001.fastq.gz,,,run6_35_S35_L001_R2_001.fastq.gz,,
run5_S27,run5_27_S27_L001_R1_001.fastq.gz,,,run5_27_S27_L001_R2_001.fastq.gz,,
run6_S37,run6_37_S37_L001_R1_001.fastq.gz,,,run6_37_S37_L001_R2_001.fastq.gz,,
run4_S68,run4_68_S68_L001_R1_001.fastq.gz,,,run4_68_S68_L001_R2_001.fastq.gz,,
run3_S50,run3_50_S50_L001_R1_001.fastq.gz,,,run3_50_S50_L001_R2_001.fastq.gz,,
run6_S78,run6_78_S78_L001_R1_001.fastq.gz,,,run6_78_S78_L001_R2_001.fastq.gz,,
run7_S72,run7_72_S72_L001_R1_001.fastq.gz,,,run7_72_S72_L001_R2_001.fastq.gz,,
run1_S1632,run1_1632_S1632_L001_R1_001.fastq.gz,,,run1_1632_S1632_L001_R2_001.fastq.gz,,
run5_S614,run5_614_S614_L001_R1_001.fastq.gz,,,run5_614_S614_L001_R2_001.fastq.gz,,
run6_S9,run6_9_S9_L001_R1_001.fastq.gz,,,run6_9_S9_L001_R2_001.fastq.gz,,
run5_S7,run5_7_S7_L001_R1_001.fastq.gz,,,run5_7_S7_L001_R2_001.fastq.gz,,
run8_S2788,run8_2788_S2788_L001_R1_001.fastq.gz,,,run8_2788_S2788_L001_R2_001.fastq.gz,,
run8_S40,run8_40_S40_L001_R1_001.fastq.gz,,,run8_40_S40_L001_R2_001.fastq.gz,,
run3_S51,run3_51_S51_L001_R1_001.fastq.gz,,,run3_51_S51_L001_R2_001.fastq.gz,,
run2_S33,run2_33_S33_L001_R1_001.fastq.gz,,,run2_33_S33_L001_R2_001.fastq.gz,,
run1_S55,run1_55_S55_L001_R1_001.fastq.gz,,,run1_55_S55_L001_R2_001.fastq.gz,,
run4_S2476,run4_2476_S2476_L001_R1_001.fastq.gz,,,run4_2476_S2476_L001_R2_001.fastq.gz,,
run3_S33,run3_33_S33_L001_R1_001.fastq.gz,,,run3_33_S33_L001_R2_001.fastq.gz,,
run8_S36,run8_36_S36_L001_R1_001.fastq.gz,,,run8_36_S36_L001_R2_001.fastq.gz,,
run4_S32,run4_32_S32_L001_R1_001.fastq.gz,,,run4_32_S32_L001_R2_001.fastq.gz,,
run7_S13,run7_13_S13_L001_R1_001.fastq.gz,,,run7_13_S13_L001_R2_001.fastq.gz,,
run4_S31,run4_31_S31_L001_R1_001.fastq.gz,,,run4_31_S31_L001_R2_001.fastq.gz,,
run2_S2931,run2_2931_S2931_L001_R1_001.fastq.gz,,,run2_2931_S2931_L001_R2_001.fastq.gz,,
run7_S29,run7_29_S29_L001_R1_001.fastq.gz,,,run7_29_S29_L001_R2_001.fastq.gz,,
run6_S3737,run6_3737_S3737_L001_R1_001.fastq.gz,,,run6_3737_S3737_L001_R2_001.fastq.gz,,
run6_S85,run6_85_S85_L001_R1_001.fastq.gz,,,run6_85_S85_L001_R2_001.fastq.gz,,
run2_S1482,run2_1482_S1482_L001_R1_001.fastq.gz,,,run2_1482_S1482_L001_R2_001.fastq.gz,,
run1_S1263,run1_1263_S1263_L001_R1_001.fastq.gz,,,run1_1263_S1263_L001_R2_001.fastq.gz,,
run9_S19,run9_19_S19_L001_R1_001.fastq.gz,,,run9_19_S19_L001_R2_001.fastq.gz,,
run8_S91,run8_91_S91_L001_R1_001.fastq.gz,,,run8_91_S91_L001_R2_001.fastq.gz,,
run8_S67,run8_67_S67_L001_R1_001.fastq.gz,,,run8_67_S67_L001_R2_001.fastq.gz,,
run9_S40,run9_40_S40_L001_R1_001.fastq.gz,,,run9_40_S40_L001_R2_001.fastq.gz,,
run1_S31,run1_31_S31_L001_R1_001.fastq.gz,,,run1_31_S31_L001_R2_001.fastq.gz,,
run8_S1632,run8_1632_S1632_L001_R1_001.fastq.gz,,,run8_1632_S1632_L001_R2_001.fastq.gz,,
run3_S19,run3_19_S19_L001_R1_001.fastq.gz,,,run3_19_S19_L001_R2_001.fastq.gz,,
run1_S68,run1_68_S68_L001_R1_001.fastq.gz,,,run1_68_S68_L001_R2_001.fastq.gz,,
run8_S33,run8_33_S33_L001_R1_001.fastq.gz,,,run8_33_S33_L001_R2_001.fastq.gz,,
run5_S8,run5_8_S8_L001_R1_001.fastq.gz,,,run5_8_S8_L001_R2_001.fastq.gz,,
run5_S21,run5_21_S21_L001_R1_001.fastq.gz,,,run5_21_S21_L001_R2_001.fastq.gz,,
run4_S3726,run4_3726_S3726_L001_R1_001.fastq.gz,,,run4_3726_S3726_L001_R2_001.fastq.gz,,
run4_S39,run4_39_S39_L001_R1_001.fastq.gz,,,run4_39_S39_L001_R2_001.fastq.gz,,
run6_S29,run6_29_S29_L001_R1_001.fastq.gz,,,run6_29_S29_L001_R2_001.fastq.gz,,
run9_S28,run9_28_S28_L001_R1_001.fastq.gz,,,run9_28_S28_L001_R2_001.fastq.gz,,
run2_S49,run2_49_S49_L001_R1_001.fastq.gz,,,run2_49_S49_L001_R2_001.fastq.gz,,
run7_S3,run7_3_S3_L001_R1_001.fastq.gz,,,run7_3_S3_L001_R2_001.fastq.gz,,
run3_S73,run3_73_S73_L001_R1_001.fastq.gz,,,run3_73_S73_L001_R2_001.fastq.gz,,
run9_S75,run9_75_S75_L001_R1_001.fastq.gz,,,run9_75_S75_L001_R2_001.fastq.gz,,
run4_S2201,run4_2201_S2201_L001_R1_001.fastq.gz,,,run4_2201_S2201_L001_R2_001.fastq.gz,,
run9_S81,run9_81_S81_L001_R1_001.fastq.gz,,,run9_81_S81_L001_R2_001.fastq.gz,,
run2_S55,run2_55_S55_L001_R1_001.fastq.gz,,,run2_55_S55_L001_R2_001.fastq.gz,,
run2_S72,run2_72_S72_L001_R1_001.fastq.gz,,,run2_72_S72_L001_R2_001.fastq.gz,,
run8_S41,run8_41_S41_L001_R1_001.fastq.gz,,,run8_41_S41_L001_R2_001.fastq.gz,,
run7_S46,run7_46_S46_L001_R1_001.fastq.gz,,,run7_46_S46_L001_R2_001.fastq.gz,,
run4_S41,run4_41_S41_L001_R1_001.fastq.gz,,,run4_41_S41_L001_R2_001.fastq.gz,,
run1_S29,run1_29_S29_L001_R1_001.fastq.gz,,,run1_29_S29_L001_R2_001.fastq.gz,,
run7_S52,run7_52_S52_L001_R1_001.fastq.gz,,,run7_52_S52_L001_R2_001.fastq.gz,,
run1_S19,run1_19_S19_L001_R1_001.fastq.gz,,,run1_19_S19_L001_R2_001.fastq.gz,,
run8_S2518,run8_2518_S2518_L001_R1_001.fastq.gz,,,run8_2518_S2518_L001_R2_001.fastq.gz,,
run6_S62,run6_62_S62_L001_R1_001.fastq.gz,,,run6_62_S62_L001_R2_001.fastq.gz,,
run8_S80,run8_80_S80_L001_R1_001.fastq.gz,,,run8_80_S80_L001_R2_001.fastq.gz,,
run6_S14,run6_14_S14_L001_R1_001.fastq.gz,,,run6_14_S14_L001_R2_001.fastq.gz,,
run5_S67,run5_67_S67_L001_R1_001.fastq.gz,,,run5_67_S67_L001_R2_001.fastq.gz,,
run5_S50,run5_50_S50_L001_R1_001.fastq.gz,,,run5_50_S50_L001_R2_001.fastq.gz,,
run4_S1632,run4_1632_S1632_L001_R1_001.fastq.gz,,,run4_1632_S1632_L001_R2_001.fastq.gz,,
run8_S97,run8_97_S97_L001_R1_001.fastq.gz,,,run8_97_S97_L001_R2_001.fastq.gz,,
run7_S2788,run7_2788_S2788_L001_R1_001.fastq.gz,,,run7_2788_S2788_L001_R2_001.fastq.gz,,
run4_S6,run4_6_S6_L001_R1_001.fastq.gz,,,run4_6_S6_L001_R2_001.fastq.gz,,
