Sample alias," ""First Fastq File"""," ""First Checksum"""," ""First Unencrypted checksum"""," ""Second Fastq File"""," ""Second Checksum"""," ""Second Unencrypted checksum"""
run3_S29,run3_29_S29_L001_R1_001.fastq.gz,,,run3_29_S29_L001_R2_001.fastq.gz,,
run4_S17,run4_17_S17_L001_R1_001.fastq.gz,,,run4_17_S17_L001_R2_001.fastq.gz,,
run1_S70,run1_70_S70_L001_R1_001.fastq.gz,,,run1_70_S70_L001_R2_001.fastq.gz,,
run8_S50,run8_50_S50_L001_R1_001.fastq.gz,,,run8_50_S50_L001_R2_001.fastq.gz,,
run5_S63,run5_63_S63_L001_R1_001.fastq.gz,,,run5_63_S63_L001_R2_001.fastq.gz,,
run5_S65,run5_65_S65_L001_R1_001.fastq.gz,,,run5_65_S65_L001_R2_001.fastq.gz,,
run5_S31,run5_31_S31_L001_R1_001.fastq.gz,,,run5_31_S31_L001_R2_001.fastq.gz,,
run4_S2931,run4_2931_S2931_L001_R1_001.fastq.gz,,,run4_2931_S2931_L001_R2_001.fastq.gz,,
run6_S1484,run6_1484_S1484_L001_R1_001.fastq.gz,,,run6_1484_S1484_L001_R2_001.fastq.gz,,
run4_S2518,run4_2518_S2518_L001_R1_001.fastq.gz,,,run4_2518_S2518_L001_R2_001.fastq.gz,,
run9_S1,run9_1_S1_L001_R1_001.fastq.gz,,,run9_1_S1_L001_R2_001.fastq.gz,,
run7_S77,run7_77_S77_L001_R1_001.fastq.gz,,,run7_77_S77_L001_R2_001.fastq.gz,,
run8_S2006,run8_2006_S2006_L001_R1_001.fastq.gz,,,run8_2006_S2006_L001_R2_001.fastq.gz,,
run7_S1989,run7_1989_S1989_L001_R1_001.fastq.gz,,,run7_1989_S1989_L001_R2_001.fastq.gz,,
run9_S24,run9_24_S24_L001_R1_001.fastq.gz,,,run9_24_S24_L001_R2_001.fastq.gz,,
run7_S96,run7_96_S96_L001_R1_001.fastq.gz,,,run7_96_S96_L001_R2_001.fastq.gz,,
run5_S2931,run5_2931_S2931_L001_R1_001.fastq.gz,,,run5_2931_S2931_L001_R2_001.fastq.gz,,
run7_S91,run7_91_S91_L001_R1_001.fastq.gz,,,run7_91_S91_L001_R2_001.fastq.gz,,
run1_S43,run1_43_S43_L001_R1_001.fastq.gz,,,run1_43_S43_L001_R2_001.fastq.gz,,
run9_S50,run9_50_S50_L001_R1_001.fastq.gz,,,run9_50_S50_L001_R2_001.fastq.gz,,
run3_S1481,run3_1481_S1481_L001_R1_001.fastq.gz,,,run3_1481_S1481_L001_R2_001.fastq.gz,,
run6_S77,run6_77_S77_L001_R1_001.fastq.gz,,,run6_77_S77_L001_R2_001.fastq.gz,,
run3_S30,run3_30_S30_L001_R1_001.fastq.gz,,,run3_30_S30_L001_R2_001.fastq.gz,,
run3_S32,run3_32_S32_L001_R1_001.fastq.gz,,,run3_32_S32_L001_R2_001.fastq.gz,,
run5_S1989,run5_1989_S1989_L001_R1_001.fastq.gz,,,run5_1989_S1989_L001_R2_001.fastq.gz,,
run9_S2,run9_2_S2_L001_R1_001.fastq.gz,,,run9_2_S2_L001_R2_001.fastq.gz,,
run1_S1481,run1_1481_S1481_L001_R1_001.fastq.gz,,,run1_1481_S1481_L001_R2_001.fastq.gz,,
run8_S3,run8_3_S3_L001_R1_001.fastq.gz,,,run8_3_S3_L001_R2_001.fastq.gz,,
run5_S2990,run5_2990_S2990_L001_R1_001.fastq.gz,,,run5_2990_S2990_L001_R2_001.fastq.gz,,
run6_S48,run6_48_S48_L001_R1_001.fastq.gz,,,run6_48_S48_L001_R2_001.fastq.gz,,
run2_S43,run2_43_S43_L001_R1_001.fastq.gz,,,run2_43_S43_L001_R2_001.fastq.gz,,
run7_S18,run7_18_S18_L001_R1_001.fastq.gz,,,run7_18_S18_L001_R2_001.fastq.gz,,
run8_S3737,run8_3737_S3737_L001_R1_001.fastq.gz,,,run8_3737_S3737_L001_R2_001.fastq.gz,,
run2_S17,run2_17_S17_L001_R1_001.fastq.gz,,,run2_17_S17_L001_R2_001.fastq.gz,,
run6_S2518,run6_2518_S2518_L001_R1_001.fastq.gz,,,run6_2518_S2518_L001_R2_001.fastq.gz,,
run2_S39,run2_39_S39_L001_R1_001.fastq.gz,,,run2_39_S39_L001_R2_001.fastq.gz,,
run1_S33,run1_33_S33_L001_R1_001.fastq.gz,,,run1_33_S33_L001_R2_001.fastq.gz,,
run3_S2476,run3_2476_S2476_L001_R1_001.fastq.gz,,,run3_2476_S2476_L001_R2_001.fastq.gz,,
run9_S87,run9_87_S87_L001_R1_001.fastq.gz,,,run9_87_S87_L001_R2_001.fastq.gz,,
run6_S39,run6_39_S39_L001_R1_001.fastq.gz,,,run6_39_S39_L001_R2_001.fastq.gz,,
run5_S30,run5_30_S30_L001_R1_001.fastq.gz,,,run5_30_S30_L001_R2_001.fastq.gz,,
run8_S1228,run8_1228_S1228_L001_R1_001.fastq.gz,,,run8_1228_S1228_L001_R2_001.fastq.gz,,
run7_S25,run7_25_S25_L001_R1_001.fastq.gz,,,run7_25_S25_L001_R2_001.fastq.gz,,
run7_S79,run7_79_S79_L001_R1_001.fastq.gz,,,run7_79_S79_L001_R2_001.fastq.gz,,
run6_S59,run6_59_S59_L001_R1_001.fastq.gz,,,run6_59_S59_L001_R2_001.fastq.gz,,
run5_S2006,run5_2006_S2006_L001_R1_001.fastq.gz,,,run5_2006_S2006_L001_R2_001.fastq.gz,,
run4_S9,run4_9_S9_L001_R1_001.fastq.gz,,,run4_9_S9_L001_R2_001.fastq.gz,,
run1_S2201,run1_2201_S2201_L001_R1_001.fastq.gz,,,run1_2201_S2201_L001_R2_001.fastq.gz,,
run1_S1482,run1_1482_S1482_L001_R1_001.fastq.gz,,,run1_1482_S1482_L001_R2_001.fastq.gz,,
run1_S18,run1_18_S18_L001_R1_001.fastq.gz,,,run1_18_S18_L001_R2_001.fastq.gz,,
run1_S2518,run1_2518_S2518_L001_R1_001.fastq.gz,,,run1_2518_S2518_L001_R2_001.fastq.gz,,
run1_S2,run1_2_S2_L001_R1_001.fastq.gz,,,run1_2_S2_L001_R2_001.fastq.gz,,
run3_S12,run3_12_S12_L001_R1_001.fastq.gz,,,run3_12_S12_L001_R2_001.fastq.gz,,
run3_S37,run3_37_S37_L001_R1_001.fastq.gz,,,run3_37_S37_L001_R2_001.fastq.gz,,
run1_S41,run1_41_S41_L001_R1_001.fastq.gz,,,run1_41_S41_L001_R2_001.fastq.gz,,
run6_S45,run6_45_S45_L001_R1_001.fastq.gz,,,run6_45_S45_L001_R2_001.fastq.gz,,
run6_S89,run6_89_S89_L001_R1_001.fastq.gz,,,run6_89_S89_L001_R2_001.fastq.gz,,
run2_S37,run2_37_S37_L001_R1_001.fastq.gz,,,run2_37_S37_L001_R2_001.fastq.gz,,
run7_S60,run7_60_S60_L001_R1_001.fastq.gz,,,run7_60_S60_L001_R2_001.fastq.gz,,
run1_S40,run1_40_S40_L001_R1_001.fastq.gz,,,run1_40_S40_L001_R2_001.fastq.gz,,
run3_S1484,run3_1484_S1484_L001_R1_001.fastq.gz,,,run3_1484_S1484_L001_R2_001.fastq.gz,,
run7_S64,run7_64_S64_L001_R1_001.fastq.gz,,,run7_64_S64_L001_R2_001.fastq.gz,,
run4_S62,run4_62_S62_L001_R1_001.fastq.gz,,,run4_62_S62_L001_R2_001.fastq.gz,,
run3_S4,run3_4_S4_L001_R1_001.fastq.gz,,,run3_4_S4_L001_R2_001.fastq.gz,,
run8_S9,run8_9_S9_L001_R1_001.fastq.gz,,,run8_9_S9_L001_R2_001.fastq.gz,,
run2_S5,run2_5_S5_L001_R1_001.fastq.gz,,,run2_5_S5_L001_R2_001.fastq.gz,,
run2_S59,run2_59_S59_L001_R1_001.fastq.gz,,,run2_59_S59_L001_R2_001.fastq.gz,,
run6_S51,run6_51_S51_L001_R1_001.fastq.gz,,,run6_51_S51_L001_R2_001.fastq.gz,,
run7_S16,run7_16_S16_L001_R1_001.fastq.gz,,,run7_16_S16_L001_R2_001.fastq.gz,,
run2_S41,run2_41_S41_L001_R1_001.fastq.gz,,,run2_41_S41_L001_R2_001.fastq.gz,,
run1_S42,run1_42_S42_L001_R1_001.fastq.gz,,,run1_42_S42_L001_R2_001.fastq.gz,,
run4_S18,run4_18_S18_L001_R1_001.fastq.gz,,,run4_18_S18_L001_R2_001.fastq.gz,,
run2_S2788,run2_2788_S2788_L001_R1_001.fastq.gz,,,run2_2788_S2788_L001_R2_001.fastq.gz,,
run9_S67,run9_67_S67_L001_R1_001.fastq.gz,,,run9_67_S67_L001_R2_001.fastq.gz,,
run5_S47,run5_47_S47_L001_R1_001.fastq.gz,,,run5_47_S47_L001_R2_001.fastq.gz,,
